lat,lon,prob201010,prob201011,prob201012,prob201101,prob201102,prob201103,prob201104,prob201105,prob201106,prob201107,prob201108
1.670833,100.5719,0,0,0,0,0,0,0,0,0,0,0
1.6625,100.5715,0,0,0,0,0,0,0,0,0,0,0
1.654167,100.5711,0,0,0,0,0,0,0,0,0,0,0
1.645833,100.5707,0,0,0,0,0,0,0,0,0,0,0
1.6375,100.5702,0,0,0,0,0,0,0,0,0,0,0
1.670833,100.5803,0,0,0,0,0,0,0,0,0,0,0
1.6625,100.5798,0,0,0,0,0,0,0,0,0,0,0
1.654167,100.5794,0,0,0,0,0,0,0,0,0,0,0
1.6375,100.5786,0,0,0,0,0,0,0,0,0,0,0
1.629167,100.5782,0,0,0,0,0,0,0,0,0,0,0
1.620833,100.5777,0,0,0,0,0,0,0,0,0,0,0
1.6125,100.5773,0,0,0,0,0,0,0,0,0,0,0
1.604167,100.5769,0,0,0,0,0,0,0,0,0,0,0
1.595833,100.5765,0,0,0,0,0,0,0,0,0,0,0
1.5875,100.5761,0,0,0,0,0,0,0,0,0,0,0
1.5625,100.5749,0,0,0,0,0,0,0,0,0,0,0
1.554167,100.5745,0,0,0,0,0,0,0,0,0,0,0
1.545833,100.5741,0,0,0,0,0,0,0,0,0,0,0
1.5375,100.5737,0,0,0,0,0,0,1,0,0,0,0
1.529167,100.5733,0,0,0,0,0,1,0,0,0,0,0
1.520833,100.5729,0,0,0,0,0,0,1,0,0,0,0
1.5125,100.5725,0,0,0,0,0,0,0,1,0,0,0
1.679167,100.589,0,0,0,0,0,0,0,0,0,0,0
1.654167,100.5878,0,0,0,0,0,0,0,0,0,0,0
1.6375,100.5869,0,0,0,0,0,0,0,0,0,0,0
1.629167,100.5865,0,0,0,0,0,0,0,0,0,0,0
1.5875,100.5844,0,0,0,0,0,0,0,0,0,0,0
1.5625,100.5832,0,0,0,0,0,0,0,0,0,0,0
1.554167,100.5828,0,0,0,0,0,0,0,0,0,0,0
1.545833,100.5824,0,0,0,0,0,0,0,0,0,0,0
1.5375,100.582,0,0,0,0,0,0,1,0,0,0,0
1.529167,100.5816,0,0,0,0,0,0,1,0,0,0,0
1.520833,100.5813,0,0,0,0,0,0,1,0,0,0,0
1.5125,100.5809,0,0,0,0,0,0,0,1,0,0,0
1.504167,100.5805,0,0,0,0,0,0,0,0,0,0,0
1.495833,100.5801,0,0,0,0,0,0,0,0,0,0,0
1.420833,100.5768,0,0,0,0,0,0,0,0,0,0,0
1.4125,100.5764,0,0,0,0,0,0,0,0,0,0,0
1.404167,100.576,0,0,0,0,0,0,0,0,0,0,0
1.395833,100.5757,0,0,0,0,0,0,0,0,0,0,0
1.3875,100.5753,0,0,0,0,0,0,0,0,0,0,0
1.379167,100.575,0,0,0,0,0,0,0,0,0,0,0
1.370833,100.5746,0,0,0,0,0,0,0,0,0,0,0
1.3625,100.5743,0,0,0,0,0,0,0,0,0,0,0
1.354167,100.5739,0,0,0,0,0,0,0,0,0,0,0
1.345833,100.5736,0,0,0,0,0,0,0,0,0,0,0
1.3375,100.5732,0,0,0,0,0,0,0,0,0,0,0
1.304167,100.5719,0,0,0,0,0,0,0,0,0,0,0
1.2875,100.5712,0,0,0,0,0,0,0,0,0,0,0
1.279167,100.5709,0,0,0,0,0,0,0,0,0,0,0
1.270833,100.5706,0,0,0,0,0,0,0,0,0,0,0
1.2625,100.5702,0,0,0,0,0,0,0,0,0,0,0
1.679167,100.5974,0,0,0,0,0,0,0,0,0,0,0
1.670833,100.5969,0,0,0,0,0,0,0,0,0,0,0
1.645833,100.5957,0,0,0,0,0,0,0,0,0,0,0
1.6375,100.5952,0,0,0,0,0,0,0,0,0,0,0
1.629167,100.5948,0,0,0,0,0,0,0,0,0,0,0
1.595833,100.5932,0,0,0,0,0,0,0,0,0,0,0
1.570833,100.592,0,0,0,0,0,0,0,0,0,0,0
1.554167,100.5912,0,0,0,0,0,0,0,0,0,0,0
1.545833,100.5908,0,0,0,0,0,0,0,0,0,0,0
1.5375,100.5904,0,0,0,0,0,1,0,0,0,0,0
1.529167,100.59,0,0,0,0,0,0,1,0,0,0,0
1.520833,100.5896,0,0,0,0,0,0,1,0,0,0,0
1.5125,100.5892,0,0,0,0,0,0,0,0,1,0,0
1.504167,100.5888,0,0,0,0,0,0,0,0,0,0,0
1.495833,100.5884,0,0,0,0,0,0,0,0,0,0,0
1.420833,100.5851,0,0,0,0,0,0,0,0,0,0,0
1.4125,100.5847,0,0,0,0,0,0,0,0,0,0,0
1.404167,100.5844,0,0,0,0,0,0,0,0,0,0,0
1.395833,100.584,0,0,0,0,0,0,0,0,0,0,0
1.3875,100.5837,0,0,0,0,0,0,0,0,0,0,0
1.379167,100.5833,0,0,0,0,0,0,0,0,0,0,0
1.370833,100.583,0,0,0,0,0,0,0,0,0,0,0
1.3625,100.5826,0,0,0,0,0,0,0,0,0,0,0
1.345833,100.5819,0,0,0,0,0,0,0,0,0,0,0
1.3375,100.5816,0,0,0,0,0,0,0,0,0,0,0
1.304167,100.5802,0,0,0,0,0,0,0,0,0,0,0
1.295833,100.5799,0,0,0,0,0,0,0,0,0,0,0
1.2875,100.5796,0,0,0,0,0,0,0,0,0,0,0
1.279167,100.5792,0,0,0,0,0,0,0,0,0,0,0
1.270833,100.5789,0,0,0,0,0,0,0,0,0,0,0
1.2625,100.5786,0,0,0,0,0,0,0,0,0,0,0
1.254167,100.5783,0,0,0,0,0,0,0,0,0,0,0
1.245833,100.5779,0,0,0,0,0,0,0,0,0,0,0
1.2375,100.5776,0,0,0,0,0,0,0,0,0,0,0
1.229167,100.5773,0,0,0,0,0,0,0,0,0,0,0
1.1125,100.5731,0,0,0,0,0,0,0,0,0,0,0
1.679167,100.6057,0,0,0,0,0,0,0,0,0,0,0
1.670833,100.6053,0,0,0,0,0,0,0,0,0,0,0
1.6625,100.6049,0,0,0,0,0,0,0,0,0,0,0
1.645833,100.604,0,0,0,0,0,0,0,0,0,0,0
1.6375,100.6036,0,0,0,0,0,0,0,0,0,0,0
1.629167,100.6032,0,0,0,0,0,0,0,0,0,0,0
1.595833,100.6015,0,0,0,0,0,0,0,0,0,0,0
1.5875,100.6011,0,0,0,0,0,0,0,0,0,0,0
1.545833,100.5991,0,0,0,0,0,0,0,0,0,0,0
1.5375,100.5987,0,0,0,0,0,1,0,0,0,0,0
1.529167,100.5983,0,0,0,0,0,0,1,0,0,0,0
1.420833,100.5934,0,0,0,0,0,0,0,0,0,0,0
1.4125,100.5931,0,0,0,0,0,0,0,0,0,0,0
1.404167,100.5927,0,0,0,1,0,0,0,0,0,0,0
1.395833,100.5923,0,0,0,0,0,0,0,0,0,0,0
1.3875,100.592,0,0,0,0,0,0,0,0,0,0,0
1.379167,100.5916,0,0,0,0,0,0,0,0,0,0,0
1.370833,100.5913,0,0,0,0,0,0,0,0,0,0,0
1.3625,100.5909,0,0,0,0,0,0,0,0,0,0,0
1.354167,100.5906,0,0,0,0,0,0,0,0,0,0,0
1.345833,100.5902,0,0,0,0,0,0,0,0,0,0,0
1.3375,100.5899,0,0,0,0,0,0,0,0,0,0,0
1.3125,100.5889,0,0,0,0,0,0,0,0,0,0,0
1.304167,100.5886,0,0,0,0,0,0,0,0,0,0,0
1.295833,100.5882,0,0,0,0,0,0,0,0,0,0,0
1.2875,100.5879,0,0,0,0,0,0,0,0,0,0,0
1.279167,100.5876,0,0,0,0,0,0,0,0,0,0,0
1.270833,100.5872,0,0,0,0,0,0,0,0,0,0,0
1.2625,100.5869,0,0,0,0,0,0,0,0,0,0,0
1.254167,100.5866,0,0,0,0,0,0,0,0,0,0,0
1.245833,100.5863,0,0,0,0,0,0,0,0,0,0,0
1.2375,100.586,0,0,0,0,0,0,0,0,0,0,0
1.229167,100.5856,0,0,0,0,0,0,0,0,0,0,0
.9041666,100.575,0,0,0,0,0,0,0,0,0,0,0
.8958333,100.5748,0,0,0,0,0,0,0,0,0,0,0
.8875,100.5746,0,0,0,0,0,0,0,0,0,0,0
.8791667,100.5743,0,0,0,0,0,0,0,0,0,0,0
.8708333,100.5741,0,0,0,0,0,0,0,0,0,0,0
.8625,100.5739,0,0,0,0,0,0,0,0,0,0,0
.8458334,100.5735,0,0,0,0,0,0,0,0,0,0,0
.8208333,100.5728,0,0,0,0,0,0,0,0,0,0,0
.8041667,100.5724,0,0,0,0,0,0,0,0,0,0,0
.7458333,100.571,0,0,0,0,0,0,0,0,0,0,0
.7375,100.5708,0,0,0,0,0,0,0,0,0,0,0
.7291667,100.5706,0,0,0,0,0,0,0,0,0,0,0
.7208334,100.5705,0,0,0,0,0,0,0,0,0,0,0
.7125,100.5703,0,0,0,0,0,0,0,0,0,0,0
1.679167,100.614,0,0,0,0,0,0,0,0,0,0,0
1.670833,100.6136,0,0,0,0,0,0,0,0,0,0,0
1.654167,100.6128,0,0,0,0,0,0,0,0,0,0,0
1.645833,100.6123,0,0,0,0,0,0,0,0,0,0,0
1.6375,100.6119,0,0,0,0,0,0,0,0,0,0,0
1.629167,100.6115,0,0,0,0,0,0,0,0,0,0,0
1.595833,100.6099,0,0,0,0,0,0,0,0,0,0,0
1.545833,100.6074,0,0,0,0,0,0,0,0,0,0,0
1.5375,100.6071,0,0,0,0,0,0,1,0,0,0,0
1.420833,100.6018,0,0,0,0,0,0,0,0,0,0,0
1.404167,100.601,0,0,0,0,0,0,0,0,0,0,0
1.395833,100.6007,0,0,0,0,0,0,0,0,1,0,0
1.3875,100.6003,0,0,0,0,0,0,0,0,0,0,0
1.379167,100.6,0,0,0,0,0,0,0,0,0,0,0
1.370833,100.5996,0,0,0,0,0,0,0,0,0,0,0
1.3625,100.5993,0,0,0,0,0,0,0,0,0,0,0
1.354167,100.5989,0,0,0,0,0,0,0,0,0,0,0
1.345833,100.5986,0,0,0,0,0,0,0,0,0,0,0
1.3375,100.5982,0,0,0,0,0,0,0,0,0,0,0
1.329167,100.5979,0,0,0,0,0,0,0,0,0,0,0
1.3125,100.5972,0,0,0,0,0,0,0,0,0,0,0
1.304167,100.5969,0,0,0,0,0,0,0,0,0,0,0
1.295833,100.5966,0,0,0,0,0,0,0,0,0,0,0
1.2875,100.5962,0,0,0,0,0,0,0,0,0,0,0
1.279167,100.5959,0,0,0,0,0,0,0,0,0,0,0
1.270833,100.5956,0,0,0,0,0,0,0,0,0,0,0
1.2625,100.5953,0,0,0,0,0,0,0,0,0,0,0
1.254167,100.5949,0,0,0,0,0,0,0,0,0,0,0
1.245833,100.5946,0,0,0,0,0,0,0,0,0,0,0
1.2375,100.5943,0,0,0,0,0,0,0,0,0,0,0
1.120833,100.5901,0,0,0,0,0,0,0,0,0,0,0
1.029167,100.5871,0,0,0,0,0,0,0,0,0,0,0
1.0125,100.5865,0,0,0,0,0,0,0,0,0,0,0
.9041666,100.5834,0,0,0,0,0,0,0,0,0,0,0
.8958333,100.5831,0,0,0,0,0,0,0,0,0,0,0
.8875,100.5829,0,0,0,0,0,0,0,0,0,0,0
.8791667,100.5827,0,0,0,0,0,0,0,0,0,0,0
.8708333,100.5825,0,0,0,0,0,0,0,0,0,0,0
.8625,100.5822,0,0,0,0,0,0,0,0,0,0,0
.8208333,100.5812,0,0,0,0,0,0,0,0,0,0,0
.8125,100.5809,0,0,0,0,0,0,0,0,0,0,0
.7458333,100.5794,0,0,0,0,0,0,0,0,0,0,0
.7375,100.5792,0,0,0,0,0,0,0,0,0,0,0
.7291667,100.579,0,0,0,0,0,0,0,0,0,0,0
.7208334,100.5788,0,0,0,0,0,0,0,0,0,0,0
.7125,100.5786,0,0,0,0,0,0,0,0,0,0,0
.7041667,100.5784,0,0,0,0,0,0,0,0,0,0,0
.6375,100.5771,0,0,0,0,0,0,0,0,0,0,0
.6291667,100.5769,0,0,0,0,0,0,0,0,0,0,0
.5958334,100.5763,0,0,0,0,0,0,0,0,0,0,0
.5875,100.5761,0,0,0,0,0,0,0,0,0,0,0
.5625,100.5757,0,0,0,0,0,0,0,0,0,0,0
.5541667,100.5755,0,0,0,0,0,0,0,0,0,0,0
.5458333,100.5754,0,0,0,0,0,0,0,0,0,0,0
.5375,100.5753,0,0,0,0,0,0,0,0,0,0,0
.5291666,100.5751,0,0,0,0,0,0,0,0,0,0,0
.5208333,100.575,0,0,0,0,0,0,0,0,0,0,0
.5125,100.5749,0,0,0,0,0,0,0,0,0,0,0
.5041667,100.5747,0,0,0,0,0,0,0,0,0,0,0
.4958333,100.5746,0,0,0,0,0,0,0,0,0,0,0
.4875,100.5745,0,0,0,0,0,0,0,0,0,0,0
.4791667,100.5743,0,0,0,0,0,0,0,0,0,0,0
