lat,lon,prob201107,prob201108
1.670833,100.5719,101,101
1.6625,100.5715,101,101
1.654167,100.5711,101,101
1.645833,100.5707,101,101
1.6375,100.5702,101,101
1.670833,100.5803,101,101
1.6625,100.5798,101,101
1.654167,100.5794,101,101
1.6375,100.5786,101,101
1.629167,100.5782,101,101
1.620833,100.5777,101,101
1.6125,100.5773,101,101
1.604167,100.5769,101,101
1.595833,100.5765,103,103
1.5875,100.5761,103,103
1.5625,100.5749,101,101
1.554167,100.5745,101,101
1.545833,100.5741,101,101
1.5375,100.5737,82,86
1.529167,100.5733,92,93
1.520833,100.5729,81,86
1.5125,100.5725,76,80
1.679167,100.589,101,101
1.654167,100.5878,101,101
1.6375,100.5869,101,101
1.629167,100.5865,101,101
1.5875,100.5844,103,103
1.5625,100.5832,101,101
1.554167,100.5828,101,101
1.545833,100.5824,101,101
1.5375,100.582,80,83
1.529167,100.5816,82,84
1.520833,100.5813,82,83
1.5125,100.5809,72,76
1.504167,100.5805,101,101
1.495833,100.5801,101,101
1.420833,100.5768,101,101
1.4125,100.5764,101,101
1.404167,100.576,59,59
1.395833,100.5757,103,103
1.3875,100.5753,103,103
1.379167,100.575,103,103
1.370833,100.5746,103,103
1.3625,100.5743,103,103
1.354167,100.5739,103,103
1.345833,100.5736,103,103
1.3375,100.5732,103,103
1.304167,100.5719,103,103
1.2875,100.5712,103,103
1.279167,100.5709,103,103
1.270833,100.5706,103,103
1.2625,100.5702,103,103
1.679167,100.5974,101,101
1.670833,100.5969,101,101
1.645833,100.5957,101,101
1.6375,100.5952,101,101
1.629167,100.5948,101,101
1.595833,100.5932,103,103
1.570833,100.592,101,101
1.554167,100.5912,101,101
1.545833,100.5908,101,101
1.5375,100.5904,81,82
1.529167,100.59,89,90
1.520833,100.5896,89,90
1.5125,100.5892,62,64
1.504167,100.5888,101,101
1.495833,100.5884,101,101
1.420833,100.5851,101,101
1.4125,100.5847,101,101
1.404167,100.5844,101,101
1.395833,100.584,103,103
1.3875,100.5837,103,103
1.379167,100.5833,103,103
1.370833,100.583,103,103
1.3625,100.5826,103,103
1.345833,100.5819,103,103
1.3375,100.5816,103,103
1.304167,100.5802,103,103
1.295833,100.5799,103,103
1.2875,100.5796,103,103
1.279167,100.5792,103,103
1.270833,100.5789,103,103
1.2625,100.5786,103,103
1.254167,100.5783,103,103
1.245833,100.5779,103,103
1.2375,100.5776,103,103
1.229167,100.5773,103,103
1.1125,100.5731,101,101
1.679167,100.6057,101,101
1.670833,100.6053,101,101
1.6625,100.6049,101,101
1.645833,100.604,101,101
1.6375,100.6036,101,101
1.629167,100.6032,101,101
1.595833,100.6015,103,103
1.5875,100.6011,103,103
1.545833,100.5991,101,101
1.5375,100.5987,79,83
1.529167,100.5983,92,93
1.420833,100.5934,61,62
1.4125,100.5931,101,101
1.404167,100.5927,66,66
1.395833,100.5923,103,103
1.3875,100.592,96,96
1.379167,100.5916,81,81
1.370833,100.5913,99,99
1.3625,100.5909,103,103
1.354167,100.5906,103,103
1.345833,100.5902,103,103
1.3375,100.5899,103,103
1.3125,100.5889,103,103
1.304167,100.5886,103,103
1.295833,100.5882,103,103
1.2875,100.5879,103,103
1.279167,100.5876,103,103
1.270833,100.5872,103,103
1.2625,100.5869,103,103
1.254167,100.5866,103,103
1.245833,100.5863,103,103
1.2375,100.586,103,103
1.229167,100.5856,103,103
.9041666,100.575,101,101
.8958333,100.5748,101,101
.8875,100.5746,101,101
.8791667,100.5743,101,101
.8708333,100.5741,101,101
.8625,100.5739,101,101
.8458334,100.5735,101,101
.8208333,100.5728,101,101
.8041667,100.5724,101,101
.7458333,100.571,103,103
.7375,100.5708,103,103
.7291667,100.5706,103,103
.7208334,100.5705,103,103
.7125,100.5703,103,103
1.679167,100.614,101,101
1.670833,100.6136,101,101
1.654167,100.6128,101,101
1.645833,100.6123,101,101
1.6375,100.6119,101,101
1.629167,100.6115,101,101
1.595833,100.6099,103,103
1.545833,100.6074,101,101
1.5375,100.6071,66,67
1.420833,100.6018,64,64
1.404167,100.601,101,101
1.395833,100.6007,59,67
1.3875,100.6003,82,90
1.379167,100.6,81,82
1.370833,100.5996,93,96
1.3625,100.5993,97,97
1.354167,100.5989,87,87
1.345833,100.5986,99,99
1.3375,100.5982,99,99
1.329167,100.5979,103,103
1.3125,100.5972,103,103
1.304167,100.5969,103,103
1.295833,100.5966,103,103
1.2875,100.5962,103,103
1.279167,100.5959,103,103
1.270833,100.5956,103,103
1.2625,100.5953,103,103
1.254167,100.5949,103,103
1.245833,100.5946,103,103
1.2375,100.5943,103,103
1.120833,100.5901,101,101
1.029167,100.5871,88,88
1.0125,100.5865,103,103
.9041666,100.5834,101,101
.8958333,100.5831,101,101
.8875,100.5829,101,101
.8791667,100.5827,101,101
.8708333,100.5825,101,101
.8625,100.5822,101,101
.8208333,100.5812,101,101
.8125,100.5809,103,103
.7458333,100.5794,101,101
.7375,100.5792,61,61
.7291667,100.579,69,69
.7208334,100.5788,66,66
.7125,100.5786,103,103
.7041667,100.5784,103,103
.6375,100.5771,101,101
.6291667,100.5769,101,101
.5958334,100.5763,101,101
.5875,100.5761,101,101
.5625,100.5757,77,77
.5541667,100.5755,55,55
.5458333,100.5754,61,61
.5375,100.5753,101,101
.5291666,100.5751,101,101
.5208333,100.575,101,101
.5125,100.5749,101,101
.5041667,100.5747,103,103
