lat,lon,prob201010,prob201011,prob201012,prob201101,prob201102,prob201103,prob201104,prob201105,prob201106,prob201107,prob201108
1.5375,100.5737,0,0,0,0,0,0,1,0,0,0,0
1.529167,100.5733,0,0,0,0,0,1,0,0,0,0,0
1.520833,100.5729,0,0,0,0,0,0,1,0,0,0,0
1.5125,100.5725,0,0,0,0,0,0,0,1,0,0,0
1.5375,100.582,0,0,0,0,0,0,1,0,0,0,0
1.529167,100.5816,0,0,0,0,0,0,1,0,0,0,0
1.520833,100.5813,0,0,0,0,0,0,1,0,0,0,0
1.5125,100.5809,0,0,0,0,0,0,0,1,0,0,0
1.5375,100.5904,0,0,0,0,0,1,0,0,0,0,0
1.529167,100.59,0,0,0,0,0,0,1,0,0,0,0
1.520833,100.5896,0,0,0,0,0,0,1,0,0,0,0
1.5125,100.5892,0,0,0,0,0,0,0,0,1,0,0
1.5375,100.5987,0,0,0,0,0,1,0,0,0,0,0
1.529167,100.5983,0,0,0,0,0,0,1,0,0,0,0
1.404167,100.5927,0,0,0,1,0,0,0,0,0,0,0
1.5375,100.6071,0,0,0,0,0,0,1,0,0,0,0
1.395833,100.6007,0,0,0,0,0,0,0,0,1,0,0
1.3875,100.6087,0,0,0,0,0,1,0,0,0,0,0
.8625,100.5906,0,0,0,0,1,0,0,0,0,0,0
.5958334,100.5846,0,0,0,0,0,0,0,0,0,1,0
1.4125,100.6181,0,0,0,0,0,0,0,0,1,0,0
.8625,100.5989,0,0,0,0,0,1,0,0,0,0,0
.8375,100.5982,0,0,0,0,1,0,0,0,0,0,0
.5958334,100.5929,0,0,0,0,0,0,0,0,0,0,1
1.4125,100.6264,0,0,0,0,1,0,0,0,0,0,0
1.379167,100.625,0,0,0,0,0,0,1,0,0,0,0
.5958334,100.6013,0,0,0,0,0,0,0,0,1,0,0
1.3875,100.6337,0,0,0,0,0,0,0,0,1,0,0
1.379167,100.6333,0,0,1,0,0,0,0,0,0,0,0
1.1375,100.624,0,0,0,0,0,1,0,0,0,0,0
.7375,100.6125,0,0,0,0,0,0,0,0,1,0,0
.7041667,100.6118,0,1,0,0,0,0,0,0,0,0,0
.6958333,100.6116,0,0,0,0,0,0,0,1,0,0,0
.6875,100.6114,0,0,0,0,0,0,0,0,0,0,1
.5958334,100.6096,0,0,0,0,0,0,0,0,0,0,1
1.3875,100.642,0,0,0,0,0,0,0,0,1,0,0
1.3375,100.6399,0,0,0,0,0,1,0,0,0,0,0
1.329167,100.6396,0,0,0,0,0,0,0,0,1,0,0
.6958333,100.6199,0,0,0,0,0,0,0,1,0,0,0
.6875,100.6197,0,0,0,0,0,0,0,0,1,0,0
1.379167,100.65,0,0,0,0,1,0,0,0,0,0,0
1.370833,100.6496,0,0,0,0,0,0,1,0,0,0,0
1.3375,100.6483,0,0,0,0,1,0,0,0,0,0,0
1.329167,100.6479,0,0,0,0,0,0,0,0,0,1,0
1.320833,100.6476,0,0,0,1,0,0,0,0,0,0,0
1.1875,100.6424,0,0,0,0,0,0,1,0,0,0,0
.7291667,100.629,0,0,0,0,0,0,0,0,0,0,1
.6958333,100.6283,0,0,0,0,0,0,0,0,1,0,0
.6875,100.6281,0,0,0,0,0,0,0,1,0,0,0
.6791667,100.6279,0,0,0,0,0,0,0,0,0,1,0
1.354167,100.6573,0,0,0,0,0,0,1,0,0,0,0
1.345833,100.6569,0,1,0,0,0,0,0,0,0,0,0
1.3375,100.6566,0,0,0,0,0,1,0,0,0,0,0
1.329167,100.6563,0,0,0,0,0,0,0,1,0,0,0
1.204167,100.6514,0,0,0,0,0,0,0,0,0,1,0
1.195833,100.6511,0,0,0,0,0,0,0,0,1,0,0
.7458333,100.6377,0,0,0,0,0,0,0,0,0,1,0
.7291667,100.6373,0,0,0,0,0,0,0,0,0,0,1
.6875,100.6364,0,0,0,0,0,0,0,0,1,0,0
1.3625,100.666,0,0,0,0,0,0,0,0,1,0,0
1.354167,100.6656,0,0,1,0,0,0,0,0,0,0,0
1.345833,100.6653,0,1,0,0,0,0,0,0,0,0,0
1.3375,100.6649,0,1,0,0,0,0,0,0,0,0,0
1.329167,100.6646,0,0,0,0,0,0,1,0,0,0,0
.7208334,100.6455,0,0,0,0,0,0,0,0,1,0,0
.6958333,100.6449,0,0,0,0,0,0,0,0,0,0,1
1.395833,100.6757,0,0,0,0,0,0,1,0,0,0,0
1.354167,100.674,0,0,0,0,0,1,0,0,0,0,0
1.345833,100.6736,0,1,0,0,0,0,0,0,0,0,0
1.3375,100.6733,0,0,1,0,0,0,0,0,0,0,0
.7208334,100.6538,0,0,0,0,1,0,0,0,0,0,0
.7125,100.6536,0,0,0,0,0,0,0,0,0,0,1
.7041667,100.6534,0,0,0,0,0,0,0,0,1,0,0
1.354167,100.6823,0,0,0,0,0,1,0,0,0,0,0
1.345833,100.6819,0,0,1,0,0,0,0,0,0,0,0
1.3375,100.6816,0,0,0,0,0,1,0,0,0,0,0
.3291667,100.6558,0,0,0,0,0,0,0,0,1,0,0
1.345833,100.6903,0,0,1,0,0,0,0,0,0,0,0
.3708333,100.6646,0,0,1,0,0,0,0,0,0,0,0
.2708333,100.6636,0,0,0,0,1,0,0,0,0,0,0
1.3875,100.7004,0,0,0,0,0,0,0,1,0,0,0
1.2625,100.6953,0,0,0,0,0,0,1,0,0,0,0
.6875,100.6781,0,0,1,0,0,0,0,0,0,0,0
.7125,100.7036,0,0,1,0,0,0,0,0,0,0,0
.6041667,100.7014,0,1,0,0,0,0,0,0,0,0,0
.7375,100.7125,0,0,0,0,1,0,0,0,0,0,0
.7291667,100.7123,0,0,0,1,0,0,0,0,0,0,0
.6541666,100.7107,0,0,0,0,0,0,0,0,1,0,0
.5958334,100.7096,0,0,0,0,0,0,0,0,1,0,0
1.3125,100.7556,0,0,0,0,0,0,0,0,1,0,0
1.2875,100.7546,0,0,0,0,0,0,0,0,0,1,0
1.2875,100.7796,0,0,0,0,1,0,0,0,0,0,0
1.279167,100.7793,0,0,0,0,0,0,0,0,0,0,1
1.245833,100.778,0,0,0,0,0,0,0,0,1,0,0
1.4375,100.7942,0,0,0,0,0,0,0,1,0,0,0
1.329167,100.7896,0,0,0,0,0,0,1,0,0,0,0
1.304167,100.7886,0,0,0,0,0,1,0,0,0,0,0
1.295833,100.7883,0,0,0,1,0,0,0,0,0,0,0
1.2875,100.7879,0,1,0,0,0,0,0,0,0,0,0
1.279167,100.7876,0,0,0,0,0,0,1,0,0,0,0
1.2375,100.786,0,0,0,0,1,0,0,0,0,0,0
1.4375,100.8026,0,0,0,0,0,0,0,0,1,0,0
1.3625,100.7993,0,0,0,0,0,0,0,0,1,0,0
1.354167,100.799,0,0,0,0,0,0,0,0,0,1,0
1.3375,100.7983,0,1,0,0,0,0,0,0,0,0,0
1.304167,100.7969,0,0,0,0,0,0,1,0,0,0,0
1.295833,100.7966,0,0,0,1,0,0,0,0,0,0,0
1.2875,100.7963,0,0,0,0,0,1,0,0,0,0,0
1.279167,100.796,0,0,0,0,0,0,0,0,1,0,0
1.2375,100.7943,0,0,0,0,1,0,0,0,0,0,0
1.370833,100.808,0,0,0,0,0,0,0,0,0,1,0
1.3625,100.8077,0,0,0,0,0,0,0,1,0,0,0
1.354167,100.8073,0,0,0,0,0,0,0,0,1,0,0
1.295833,100.8049,0,0,0,0,1,0,0,0,0,0,0
1.2875,100.8046,0,0,0,0,0,0,1,0,0,0,0
1.279167,100.8043,0,0,0,0,0,0,0,0,1,0,0
1.2375,100.8027,0,0,0,0,0,0,1,0,0,0,0
1.354167,100.8157,0,0,0,0,1,0,0,0,0,0,0
1.345833,100.8153,0,0,0,0,0,0,0,1,0,0,0
1.2625,100.812,0,0,0,0,0,0,1,0,0,0,0
1.2875,100.8213,0,0,0,0,0,1,0,0,0,0,0
1.354167,100.8323,0,0,0,0,0,0,0,0,0,1,0
1.279167,100.8293,0,0,0,0,0,1,0,0,0,0,0
1.354167,100.8407,0,0,0,0,0,0,0,0,0,1,0
1.354167,100.849,0,0,0,0,0,0,0,1,0,0,0
1.204167,100.8431,0,0,0,0,0,0,0,1,0,0,0
1.1375,100.8407,0,0,0,0,0,0,0,1,0,0,0
1.6375,100.8787,0,0,0,0,0,0,0,1,0,0,0
1.370833,100.8747,0,0,0,0,0,0,1,0,0,0,0
1.354167,100.874,0,0,0,0,1,0,0,0,0,0,0
1.345833,100.8737,0,0,0,0,0,0,0,0,1,0,0
1.379167,100.8834,0,0,0,0,0,0,0,1,0,0,0
1.370833,100.883,0,0,0,0,0,0,1,0,0,0,0
1.254167,100.8783,0,0,0,0,0,0,0,0,1,0,0
1.345833,100.8903,0,0,0,0,0,0,1,0,0,0,0
1.270833,100.8873,0,0,0,0,0,0,0,0,0,1,0
1.345833,100.8987,0,0,0,0,1,0,0,0,0,0,0
1.270833,100.8957,0,0,0,0,0,0,0,0,0,0,1
1.229167,100.8941,0,0,0,0,0,0,1,0,0,0,0
1.195833,100.8928,0,1,0,0,0,0,0,0,0,0,0
1.670833,100.9221,0,0,0,0,0,0,0,1,0,0,0
1.270833,100.904,0,0,0,0,0,0,0,0,0,0,1
1.2375,100.9027,0,0,0,0,0,0,0,0,1,0,0
1.229167,100.9024,0,0,0,0,0,1,0,0,0,0,0
1.220833,100.9021,0,0,0,1,0,0,0,0,0,0,0
1.2125,100.9018,0,0,0,1,0,0,0,0,0,0,0
1.204167,100.9015,0,0,0,1,0,0,0,0,0,0,0
1.195833,100.9011,0,0,1,0,0,0,0,0,0,0,0
.9958333,100.8944,0,1,0,0,0,0,0,0,0,0,0
1.6625,100.93,0,0,0,0,0,1,0,0,0,0,0
1.345833,100.9153,0,0,0,1,0,0,0,0,0,0,0
1.245833,100.9114,0,0,0,0,0,0,0,1,0,0,0
1.2375,100.911,0,0,0,1,0,0,0,0,0,0,0
1.220833,100.9104,0,1,0,0,0,0,0,0,0,0,0
1.2125,100.9101,0,1,0,0,0,0,0,0,0,0,0
1.204167,100.9098,0,0,1,0,0,0,0,0,0,0,0
1.154167,100.908,0,1,0,0,0,0,0,0,0,0,0
1.6625,100.9383,0,0,0,0,0,0,0,0,0,1,0
1.2375,100.9194,0,0,1,0,0,0,0,0,0,0,0
1.229167,100.9191,0,0,1,0,0,0,0,0,0,0,0
1.2125,100.9184,0,1,0,0,0,0,0,0,0,0,0
1.204167,100.9181,0,0,1,0,0,0,0,0,0,0,0
1.2125,100.9268,0,0,0,1,0,0,0,0,0,0,0
1.204167,100.9265,0,0,0,0,1,0,0,0,0,0,0
1.179167,100.9255,0,0,1,0,0,0,0,0,0,0,0
1.154167,100.9246,0,1,0,0,0,0,0,0,0,0,0
1.2625,100.937,0,0,1,0,0,0,0,0,0,0,0
1.120833,100.9401,0,0,0,0,0,0,0,1,0,0,0
1.279167,100.9543,0,0,0,0,0,1,0,0,0,0,0
1.1625,100.9499,0,0,0,0,0,1,0,0,0,0,0
1.129167,100.9488,0,0,0,0,0,0,0,0,0,0,1
.3458333,100.931,0,0,0,0,0,1,0,0,0,0,0
.5791667,100.9593,0,0,0,1,0,0,0,0,0,0,0
1.1375,100.9824,0,0,0,0,0,1,0,0,0,0,0
1.1125,100.9815,0,0,1,0,0,0,0,0,0,0,0
1.095833,100.981,0,1,0,0,0,0,0,0,0,0,0
.0875,100.9626,0,0,1,0,0,0,0,0,0,0,0
1.170833,100.9919,0,1,0,0,0,0,0,0,0,0,0
1.1625,100.9916,0,0,0,0,0,0,0,1,0,0,0
1.154167,100.9913,0,0,0,0,0,0,1,0,0,0,0
1.104167,100.9896,0,0,0,0,0,0,0,0,1,0,0
1.520833,101.0147,0,0,0,1,0,0,0,0,0,0,0
