lat,lon,period
25.2875,89.91154,254
25.2875,89.92075,254
25.27917,89.91457,254
25.29583,89.93615,254
25.27083,89.95448,254
25.27083,89.96369,254
25.2625,89.95752,254
25.27917,89.97909,254
25.2625,89.96674,254
25.27083,89.98212,254
25.2625,89.97594,254
25.25417,90.02505,254
25.25417,90.03427,254
25.24583,90.0281,254
25.25417,90.04349,254
25.24583,90.03731,254
24.67083,90.04874,254
24.67083,90.05791,254
24.4375,90.05527,254
24.42917,90.05848,254
24.34583,90.10887,254
24.1875,90.34383,254
24.17917,90.39274,254
23.35417,91.86371,254
23.34583,91.86702,254
23.27917,91.82096,254
23.4375,91.95786,254
23.25417,91.83095,254
23.20417,91.8147,254
23.04583,91.77885,254
23.02917,91.78561,254
23.1625,91.90394,254
23.15417,91.89822,254
23.14583,91.90157,254
23.69583,92.2936,254
22.80417,91.67856,254
23.64583,92.2674,254
23.35417,92.0634,254
23.64583,92.2765,254
23.6375,92.27062,254
22.9125,91.76975,254
23.54583,92.24254,254
23.55417,92.25748,254
23.54583,92.25163,254
23.42083,92.19147,254
23.3875,92.18642,254
23.47083,92.26271,52
23.30417,92.17393,254
23.24583,92.13358,254
23.30417,92.18301,254
23.29583,92.17724,254
23.2375,92.13689,254
23.30417,92.20116,254
23.4125,92.28556,50
23.3875,92.29537,254
23.3875,92.30445,254
23.37917,92.29865,254
23.37917,92.30772,254
23.17083,92.16346,254
22.90417,91.98123,254
23.37083,92.32008,254
23.37083,92.32915,254
23.34583,92.33899,254
23.30417,92.33726,254
23.29583,92.33147,254
23.04583,92.15921,254
23.32083,92.35791,254
23.24583,92.31497,254
23.29583,92.3587,254
23.27917,92.35621,254
23.27083,92.3595,254
23.2625,92.36279,254
23.2375,92.35455,254
23.14583,92.30033,254
23.24583,92.38753,254
22.9875,92.29135,254
22.97917,92.29471,254
22.52917,92.16259,254
22.87917,92.41653,254
22.27917,92.04198,254
22.69583,92.38271,254
22.4125,92.19318,254
22.74583,92.43456,254
22.57083,92.32579,254
22.57083,92.35287,254
22.67083,92.43812,254
22.39583,92.25423,254
22.65417,92.44495,254
22.37917,92.26119,254
22.32083,92.22258,254
22.52917,92.38814,254
22.39583,92.35337,254
22.2875,92.28163,254
22.3375,92.32369,254
22.3875,92.36586,254
22.32917,92.3362,254
22.27917,92.31216,254
22.4875,92.46853,254
22.34583,92.37427,254
22.3375,92.36874,254
22.37917,92.4144,254
22.34583,92.39228,254
22.4625,92.47889,254
22.32083,92.38474,254
22.3375,92.40478,254
22.32083,92.39374,254
22.3125,92.39723,254
22.29583,92.44926,254
21.87917,92.25765,254
21.82917,92.23434,254
22.3125,92.56838,254
21.59583,92.10282,254
22.0875,92.45612,254
22.0625,92.45775,254
21.9625,92.40152,254
21.85417,92.34026,254
21.7875,92.29725,254
21.6625,92.21706,254
21.85417,92.34924,254
21.84583,92.35283,254
21.8375,92.34745,254
21.5625,92.17123,254
22.0875,92.51908,254
21.49583,92.13789,254
21.80417,92.36184,254
22.10417,92.57497,254
21.84583,92.4067,254
21.7875,92.36905,254
21.4625,92.16157,254
22.07917,92.56757,254
21.6875,92.31376,254
21.37083,92.12165,254
21.3625,92.13431,254
21.72083,92.37102,254
21.82083,92.47134,254
21.52917,92.30235,254
21.44583,92.24952,254
21.1875,92.0963,51
21.67917,92.41603,254
21.3125,92.18341,254
21.1875,92.10523,254
21.17917,92.10004,254
21.6875,92.43034,254
21.17917,92.10898,254
21.17917,92.11792,254
21.87917,92.58992,254
21.59583,92.46132,254
21.60417,92.4756,254
21.59583,92.47028,254
21.60417,92.48457,254
21.59583,92.47924,254
21.5875,92.47392,254
21.57917,92.4686,254
21.5375,92.50475,254
21.59583,92.56886,254
21.57083,92.57977,254
21.44583,92.52707,254
21.50417,92.5731,254
21.42917,92.53441,254
21.42083,92.59179,254
21.42083,92.60074,254
21.4125,92.59546,254
21.40417,92.59018,254
21.39583,92.5849,60
21.4125,92.60441,254
21.40417,92.59913,51
21.39583,92.59385,254
21.37917,92.6012,254
21.37083,92.59593,254
25.2625,98.19537,50
25.2625,98.20458,50
24.4625,97.68109,254
24.35417,97.88087,254
24.37083,97.90292,254
25.55417,98.858,254
24.40417,97.9562,254
24.0375,97.87534,254
24.45417,98.46192,254
25.87083,100.0754,66
25.87083,100.0846,75
24.12083,98.69682,254
24.14583,98.83483,254
24.17083,98.89072,254
