lat,lon,period
5.604167,95.4102,254
5.604167,95.41857,254
5.029167,95.39642,73
5.0125,95.39398,75
5.004167,95.39277,71
4.970833,95.40466,50
4.954167,95.41061,53
4.945833,95.40941,53
4.9375,95.40821,50
4.954167,95.41898,50
4.945833,95.41777,51
4.9375,95.41657,50
4.929167,95.41537,50
4.920833,95.41418,54
4.945833,95.42614,50
4.9375,95.42494,50
4.929167,95.42374,50
4.920833,95.42255,51
4.9125,95.42135,51
4.945833,95.4345,52
4.9375,95.4333,53
4.929167,95.43211,52
4.920833,95.43091,52
4.9125,95.42972,51
4.904167,95.42852,50
4.8875,95.42615,59
5.570833,95.53873,254
4.9375,95.44167,52
4.929167,95.44047,56
4.920833,95.43927,50
4.9125,95.43808,50
4.904167,95.43689,50
4.895833,95.4357,50
4.8875,95.43451,54
4.879167,95.43332,51
4.9375,95.45004,54
4.929167,95.44883,54
4.920833,95.44764,52
4.895833,95.44406,50
4.8875,95.44287,56
4.879167,95.44169,63
4.870833,95.44051,60
4.929167,95.4572,51
4.8875,95.45123,51
4.879167,95.45005,60
4.870833,95.44887,68
4.8625,95.44769,70
4.854167,95.4465,92
5.5625,95.5625,53
4.879167,95.45841,52
4.854167,95.45486,81
4.845833,95.45369,95
4.8375,95.45251,99
4.870833,95.46559,50
4.854167,95.46323,62
4.845833,95.46205,89
4.8375,95.46088,98
5.529167,95.57384,254
4.8625,95.4895,51
5.3875,95.57638,254
4.8625,95.49786,52
4.854167,95.49668,50
4.8625,95.50623,50
4.854167,95.50505,50
4.745833,95.53169,59
4.729167,95.58792,55
4.720833,95.58678,50
4.720833,95.59514,50
4.720833,95.6035,52
4.7125,95.60235,50
4.720833,95.61186,51
5.2625,95.69921,254
4.704167,95.61793,52
4.704167,95.62629,55
4.695833,95.62514,52
4.7125,95.64416,50
4.704167,95.64301,50
4.6875,95.64073,50
4.704167,95.65137,51
4.679167,95.64795,50
4.679167,95.65631,50
4.695833,95.66695,50
4.6875,95.66581,50
5.495833,95.79452,50
4.6875,95.67417,52
5.479167,95.81696,57
5.470833,95.81562,55
5.479167,95.82533,254
4.5875,95.69407,50
5.254167,95.84856,53
5.195833,95.83964,254
4.795833,95.78117,254
5.254167,95.85693,50
4.4875,95.79784,50
4.479167,95.80511,53
4.470833,95.81238,60
5.1625,95.92663,254
5.3125,95.97475,254
5.170833,95.95299,254
5.1625,95.9601,254
4.420833,95.87274,53
4.4125,95.87167,50
4.420833,95.8811,50
4.4125,95.88002,50
4.404167,95.87894,51
4.4125,95.88838,50
4.404167,95.88731,50
4.395833,95.88623,55
4.4125,95.89674,53
4.404167,95.89566,57
4.395833,95.89459,54
4.4125,95.9051,50
4.404167,95.90402,56
4.395833,95.90295,53
4.3875,95.90188,68
4.529167,95.92873,254
4.4125,95.91345,50
4.404167,95.91238,52
4.395833,95.91131,59
4.3875,95.91023,54
4.379167,95.90916,60
5.179167,96.02956,54
4.529167,95.93709,254
4.395833,95.91966,50
4.3875,95.91859,57
4.379167,95.91753,53
5.1875,96.03919,51
4.529167,95.97888,254
4.529167,95.98724,254
5.1875,96.09777,254
4.2875,95.98946,54
4.2875,95.99782,62
