lat,lon,m201108
.7458333,110.6219,1
.7375,110.6217,1
.7291667,110.6215,1
.6958333,110.6207,1
.6875,110.6205,1
.8958333,110.6344,1
.7375,110.63,2
.7291667,110.6298,1
.7041667,110.6292,2
.6958333,110.629,1
.6875,110.6288,1
.3875,110.6234,1
.3208333,110.6226,1
.3125,110.6225,1
.2958333,110.6223,1
.2875,110.6222,1
.2791667,110.6221,1
.2541667,110.6219,1
.1208333,110.6211,1
.0875,110.621,1
.0791667,110.6209,1
.0708333,110.6209,1
.0625,110.6209,1
.0541667,110.6209,1
.0458333,110.6209,1
.0375,110.6209,1
.0291667,110.6208,1
.0125,110.6208,1
.8958333,110.6427,1
.8875,110.6424,1
.8791667,110.6422,1
.8708333,110.6419,1
.7458333,110.6385,2
.7375,110.6383,2
.7291667,110.6381,1
.7208334,110.6379,1
.7041667,110.6375,1
.6958333,110.6373,1
.4291667,110.6323,1
.2875,110.6306,1
.2791667,110.6305,1
.2541667,110.6303,1
.2375,110.6301,1
.1291667,110.6294,1
.1208333,110.6294,1
.0791667,110.6293,1
.0708333,110.6292,1
.0625,110.6292,1
.0125,110.6292,1
.8125,110.6486,3
.7625,110.6473,2
.7458333,110.6469,1
.7291667,110.6465,2
.7208334,110.6463,1
.7125,110.6461,1
.7041667,110.6459,1
.6958333,110.6457,1
.6875,110.6455,1
.6541666,110.6447,1
.5791667,110.6432,1
.3208333,110.6392,1
.2375,110.6385,1
.2291667,110.6384,1
.1125,110.6377,1
.1041667,110.6377,1
.0791667,110.6376,1
.0708333,110.6376,1
.0625,110.6376,1
.0541667,110.6376,1
.0458333,110.6375,1
.0375,110.6375,1
.0208333,110.6375,1
.0125,110.6375,1
.8125,110.657,3
.7541667,110.6554,1
.7458333,110.6552,2
.7375,110.655,1
.7125,110.6544,1
.6875,110.6538,1
.3208333,110.6476,1
.2541667,110.6469,1
.0791667,110.6459,1
.0708333,110.6459,1
.0625,110.6459,1
.0541667,110.6459,1
.0458333,110.6459,1
.0291667,110.6459,1
.0208333,110.6458,1
.0125,110.6458,1
.0041667,110.6458,1
.8208333,110.6655,3
.8041667,110.6651,2
.7458333,110.6635,1
.6958333,110.6623,1
.6791667,110.6619,1
.6625,110.6616,1
.6375,110.661,1
.6291667,110.6608,1
.6208333,110.6607,1
.6125,110.6605,1
.5875,110.66,1
.0958333,110.6543,1
.0708333,110.6543,1
.0625,110.6542,1
.0458333,110.6542,1
.0375,110.6542,1
.0291667,110.6542,1
.0125,110.6542,1
.8375,110.6743,1
.8125,110.6736,3
.6625,110.6699,2
.6541666,110.6697,1
.6458333,110.6695,1
.6375,110.6693,1
.6291667,110.6692,1
.6208333,110.669,1
.6125,110.6688,1
.6041667,110.6687,1
.5958334,110.6685,1
.5875,110.6683,1
.5375,110.6674,2
.2541667,110.6636,1
.0708333,110.6626,1
.0458333,110.6625,1
.0375,110.6625,1
.0291667,110.6625,1
.0208333,110.6625,1
.0125,110.6625,1
.0041667,110.6625,1
.8291667,110.6824,3
.7708333,110.6808,1
.7208334,110.6796,1
.6625,110.6782,1
.6541666,110.678,1
.6458333,110.6779,1
.6375,110.6777,1
.6291667,110.6775,1
.6208333,110.6773,1
.6125,110.6772,1
.6041667,110.677,1
.5958334,110.6768,1
.5875,110.6767,1
.5791667,110.6765,1
.5625,110.6762,1
.1208333,110.6711,1
.0791667,110.6709,1
.0708333,110.6709,1
.0625,110.6709,1
.0375,110.6709,1
.0291667,110.6708,1
.0041667,110.6708,1
.7708333,110.6892,1
.7458333,110.6885,4
.6625,110.6866,1
.6541666,110.6864,1
.6458333,110.6862,1
.6375,110.686,1
.6291667,110.6858,1
.6208333,110.6857,1
.6125,110.6855,1
.6041667,110.6853,1
.5958334,110.6852,1
.5875,110.685,1
.5458333,110.6842,1
.4791667,110.683,1
.4708333,110.6829,1
.2791667,110.6805,1
.0791667,110.6793,1
.0708333,110.6793,1
.0625,110.6792,1
.0458333,110.6792,1
.0375,110.6792,1
.0041667,110.6792,1
.8875,110.7008,2
.8458334,110.6996,1
.8125,110.6986,1
.7458333,110.6969,3
.7375,110.6967,1
.7291667,110.6965,1
.6791667,110.6953,1
.6708333,110.6951,1
.6625,110.6949,1
.6541666,110.6947,1
.6458333,110.6945,1
.6375,110.6944,1
.6291667,110.6942,1
.6208333,110.694,1
.6125,110.6938,1
.6041667,110.6937,1
.5958334,110.6935,1
.5875,110.6933,1
.5041667,110.6918,1
.1208333,110.6877,1
.0708333,110.6876,1
.0625,110.6876,1
.0291667,110.6875,1
.0208333,110.6875,1
.0125,110.6875,1
.0041667,110.6875,1
.8791667,110.7089,1
.8125,110.707,3
.7375,110.705,4
.7291667,110.7048,1
.7208334,110.7046,1
.7125,110.7044,1
.7041667,110.7042,1
.6708333,110.7034,1
.6625,110.7032,1
.6541666,110.703,1
.6458333,110.7029,1
.6375,110.7027,1
.6291667,110.7025,1
.6208333,110.7023,1
.6125,110.7022,1
.6041667,110.702,1
.5958334,110.7018,1
.5291666,110.7006,1
.4708333,110.6996,1
.0541667,110.6959,1
.0458333,110.6959,2
.0291667,110.6958,1
.0125,110.6958,1
.9041666,110.7179,1
.8625,110.7167,1
.8291667,110.7158,1
.8208333,110.7155,1
.7375,110.7133,1
.7291667,110.7131,1
.7208334,110.7129,1
.7125,110.7127,1
.7041667,110.7125,1
.6958333,110.7123,1
.6541666,110.7114,1
.6458333,110.7112,1
.6375,110.711,1
.6291667,110.7108,1
.6208333,110.7107,1
.6125,110.7105,1
.6041667,110.7103,1
.5958334,110.7102,1
.5375,110.709,1
.5291666,110.7089,1
.5208333,110.7087,1
.5125,110.7086,1
.5041667,110.7085,1
.4958333,110.7083,1
.0458333,110.7042,1
.0375,110.7042,1
.0125,110.7042,1
.0041667,110.7042,1
.9041666,110.7263,1
.8458334,110.7246,1
.7291667,110.7215,1
.7125,110.7211,1
.6875,110.7205,1
.6458333,110.7195,1
.6375,110.7194,1
.6291667,110.7192,1
.6208333,110.719,1
.6041667,110.7187,1
.5208333,110.7171,1
.5125,110.7169,1
.5041667,110.7168,1
.0541667,110.7125,1
.0458333,110.7125,1
.0375,110.7125,1
.0208333,110.7125,1
.0125,110.7125,1
.8875,110.7341,2
.8458334,110.7329,1
.8375,110.7327,1
.7375,110.73,1
.6375,110.7277,2
.5125,110.7253,1
.5041667,110.7251,1
.4958333,110.725,1
.0875,110.721,1
.0375,110.7209,1
.0125,110.7208,1
.8458334,110.7412,1
.8375,110.741,1
.8291667,110.7408,1
.8208333,110.7405,1
.8041667,110.7401,1
.7541667,110.7388,1
